Item,Marine,Quantity
2 Grenade Pouches,7,8
3 Magazine Pouches,2,12
3 Magazine Pouches,7,11
Batteries PRC-152,7,1
Binoculars,6,1
Camelback,4,2
Camelback,6,1
Cammie Paint,7,1
Canteen Cup,5,4
Covered Canteens,8,8
Dog Tags,2,4
Dump Pouch,7,4
E-tool with Carrier,3,2
E-tool with Carrier,5,1
Eye Protection,7,4
First Aid Kit,1,3
First Aid Kit,3,1
First Aid Kit,7,0
First Aid Kit,8,1
ID Card,4,4
Individual Purifier,5,4
Map Pens,7,4
MREs,2,8
Note Taking Gear,7,4
NVG PVS 14,5,4
Protractor,5,4
Pyro Set,2,1
Pyro Set,4,0
SL3 Complete,6,4
