Item,Marine,Quantity
2 Grenade Pouches,6,6
3 Magazine Pouches,1,2
3 Magazine Pouches,2,10
3 Magazine Pouches,3,1
3 Magazine Pouches,7,5
Batteries PRC-152,7,1
Camelback,4,2
Camelback,6,1
Canteen Cup,1,3
Covered Canteens,1,3
Covered Canteens,6,3
Dog Tags,5,3
Dump Pouch,8,3
E-tool with Carrier,5,3
Eye Protection,6,3
First Aid Kit,1,2
First Aid Kit,2,1
First Aid Kit,8,3
ID Card,3,3
Individual Purifier,5,3
Map Pens,1,3
MREs,2,5
MREs,5,1
Note Taking Gear,3,3
NVG PVS 14,3,2
NVG PVS 14,5,1
Protractor,4,3
Pyro Set,4,1
Rifle with Sling,3,1
Rifle with Sling,7,1
