Scenario,SquadSize,Duration,Objective,SelfSufficiencyScore,ScorePercent
Hot SOP,4,2,137.82,1.0,100.0%
Cold SOP,4,2,146.12,1.0,100.0%
Hot SOP,4,3,130.81,0.8958,89.6%
Cold SOP,4,3,139.27,0.8897,89.0%
Hot SOP,4,4,168.12,0.6556,65.6%
Cold SOP,4,4,188.81,0.6744,67.4%
Hot SOP,8,2,137.82,1.0,100.0%
Cold SOP,8,2,146.12,1.0,100.0%
Hot SOP,8,3,130.81,0.8958,89.6%
Cold SOP,8,3,139.27,0.8897,89.0%
Hot SOP,8,4,130.8,0.8498,85.0%
Cold SOP,8,4,139.59,0.8586,85.9%
Hot SOP,12,2,129.96,0.9599,96.0%
Cold SOP,12,2,138.26,0.9614,96.1%
Hot SOP,12,3,129.62,0.8866,88.7%
Cold SOP,12,3,137.94,0.8744,87.4%
Hot SOP,12,4,130.8,0.8498,85.0%
Cold SOP,12,4,139.59,0.8586,85.9%
